"Coefficient_PLS"	"Coefficient_RCP"
"pluvio_10_x_geology.1"	-0.00441085592660873	-0.0456936769604488
"pluvio_10_x_geology.2"	-0.328852044766801	-0.0734572669679534
"pluvio_10_x_geology.3"	-1.33676879667279	0.0269906539963569
"pluvio_10_x_geology.5"	2.25069556573497	-0.267449018977073
"pluvio_10_x_geology.6"	-2.01846734659882	0.0515174509150942
"pluvio_11_x_geology.1"	-2.84228429528657	-0.12300554517444
"pluvio_11_x_geology.2"	0.523834251935117	-0.0368618758517845
"pluvio_11_x_geology.3"	2.75577833349671	-0.388491323611641
"pluvio_11_x_geology.5"	0.334802858452444	-0.176655964990959
"pluvio_11_x_geology.6"	1.26347923517124	-0.276120319061109
"pluvio_12_x_geology.1"	0.72839681130953	-0.144650707865512
"pluvio_12_x_geology.2"	-1.2247992174813	-0.0325519750723533
"pluvio_12_x_geology.3"	0.105203976160665	-0.333984077361111
"pluvio_12_x_geology.5"	1.73347791446844	0.0140702191102967
"pluvio_12_x_geology.6"	-1.6314993206218	-0.237961493329233
"pluvio_yr_x_geology.1"	-1.02893923013068	-0.0426508404107176
"pluvio_yr_x_geology.2"	-0.188454293008756	0.0111045611460994
"pluvio_yr_x_geology.3"	-1.98700092139484	-0.0414880766976225
"pluvio_yr_x_geology.5"	-1.64199654813011	-0.316164762605035
"pluvio_yr_x_geology.6"	3.29180348942096	-0.0131494301068211
