	Coefficient_Lasso	Coefficient_Ridge
pluvio_11_geology.3	0	0.980479797670195
pluvio_11_geology.5	1.18874570456117	0.50225878343917
pluvio_11_geology.6	0	1.06708652188973
pluvio_12	0	-0.423106653279456
pluvio_12_geology.1	0	-0.0226783341165246
pluvio_12_geology.2	0	-0.797573138302986
pluvio_12_geology.3	-0.591460739546026	-0.834028997512246
pluvio_12_geology.5	0	0.632388086850017
pluvio_12_geology.6	0	-1.01651663795454
pluvio_2	-0.510005472490264	-0.791212260527777
pluvio_2_geology.1	0	-0.293028884667753
pluvio_2_geology.2	0	-2.49877133436579
pluvio_2_geology.3	-2.99190857695252	-1.60993598397869
pluvio_2_geology.5	0	0.480006943313435
pluvio_2_geology.6	-0.789914571447382	-0.423928829863677
pluvio_3	0	1.07510846014323
pluvio_3_geology.1	-0.874034233603962	-1.85416292619121
pluvio_3_geology.2	2.72540846681911	0.271086985276165
pluvio_3_geology.3	3.00593842788702	1.73478202035467
pluvio_3_geology.5	-1.69547578894619	-2.25813898617879
pluvio_3_geology.6	3.65315936170914	1.7321653031746
pluvio_4	0	-0.0935592704177168
pluvio_4_geology.1	1.24782332464747	2.41542306154708
pluvio_4_geology.2	0	-2.90742746212636
pluvio_4_geology.3	2.4431628650386	2.02961539365253
pluvio_4_geology.5	-0.587545840099311	-1.04792312467756
pluvio_4_geology.6	-5.0275601554765	-3.35110592750294
pluvio_5	0	-0.465976116307453
pluvio_5_geology.1	-5.85434396074945	-4.08587303717117
pluvio_5_geology.2	9.47135650367286	5.92096799085916
pluvio_5_geology.3	0	0.25445280810057
pluvio_5_geology.5	0	-0.501479370524655
pluvio_5_geology.6	-6.20764217618851	-3.8985128688749
pluvio_6	0.496797623775014	0.633510773093173
pluvio_6_geology.1	0	-0.45787868189885
pluvio_6_geology.2	8.26314175584825	2.63160612492239
pluvio_6_geology.3	2.00561066098482	1.18945981371183
pluvio_6_geology.5	-3.4329327694384	-3.05204305171092
pluvio_6_geology.6	1.7546331828872	1.2738668731491
pluvio_7	0	0.00120265596163627
pluvio_7_geology.1	0	1.1531713754277
pluvio_7_geology.2	12.2509280456156	7.89081566505871
pluvio_7_geology.3	0	0.413826359187701
pluvio_7_geology.5	-1.11331254993988	-0.78229997301764
pluvio_7_geology.6	-3.63546691711525	-2.03208604565106
pluvio_8	0.0484407214516567	0.835258791322831
pluvio_8_geology.1	2.36139432491997	1.15644220964457
pluvio_8_geology.2	7.32881826384244	6.30499757490477
pluvio_8_geology.3	1.45312408479087	0.408718688054773
pluvio_8_geology.5	11.5559149666038	8.16516861254244
pluvio_8_geology.6	-1.02085309161887	-0.7342051956118
pluvio_9	0	-0.43273726124794
pluvio_9_geology.1	0	0.231583886827878
pluvio_9_geology.2	-1.82271501482188	-2.5247714680975
pluvio_9_geology.3	-3.83631200059247	-2.69111120167095
pluvio_9_geology.5	0.399851376507549	0.996274833494807
pluvio_9_geology.6	-1.09480332049284	-0.934367192700674
pluvio_yr	-1.74286000458174	-0.639592064868927
pluvio_yr_geology.1	0	-1.36756397621138
pluvio_yr_geology.2	-2.70308650644665	-1.40537199029102
pluvio_yr_geology.3	0	-0.65419522775427
pluvio_yr_geology.5	-0.743392643845125	-1.08790669978537
pluvio_yr_geology.6	2.25129039617415	0.71205593651024
